GPUname,GPUname.1
geforce gtx 970 evga ssc acx+ 2.0 4gb edition sli,
geforce gtx 970 evga ssc acx 2.0 4gb edition sli,
geforce gtx 970 evga superclocked 4gb edition,
geforce gtx 970 evga ssc acx+ 2.0 4gb edition,
geforce gtx 970 evga ftw+ acx 2.0+ 4gb edition,
geforce gtx 970 evga ftw+ acx 2.0+ 4gb edition sli,
geforce gtx 970 evga ssc acx 2.0 4gb edition,
geforce gtx 970 evga superclocked acx 4gb edition,
geforce gtx 970 asus turbo oc 4gb edition,
geforce gtx 970 evga acx 4gb edition,
geforce gtx 970 asus strix oc 4gb edition sli,
geforce gtx 970 evga acx 2.0 4gb edition,
geforce gtx 970 asus strix oc 4gb edition,
geforce gtx 970 evga ftw acx 2.0 4gb edition sli,
geforce gtx 970 evga ftw acx 2.0 4gb edition,
geforce gtx 970 evga 4gb edition,
geforce gtx 970 4gb sli,
geforce gtx 970 asus directcu mini oc 4gb edition,
geforce gtx 960 zotac v2 2gb edition,
geforce gtx 960 zotac amp! v2 2gb edition,
geforce gtx 970 4gb,
geforce gtx 960 zotac 2gb edition,
geforce gtx 960 zotac amp! 2gb edition,
geforce gtx 960 zotac 4gb edition,
geforce gtx 960 ti 2gb [not released],
geforce gtx 960 point of view ammo oc 2gb edition,
geforce gtx 960 zotac amp! 4gb edition,
geforce gtx 960 ti 4gb [not released],
geforce gtx 960 pny 2gb edition,
geforce gtx 960 palit super jetstream 2gb edition,
geforce gtx 960 palit jetstream 4gb edition,
geforce gtx 960 pny xlr8 4gb edition,
geforce gtx 960 palit jetstream 2gb edition,
geforce gtx 960 palit 2gb edition,
geforce gtx 960 msi oc 2gb edition,
geforce gtx 960 msi gaming 4gb edition sli,
geforce gtx 960 msi gaming 2gb edition,
geforce gtx 960 msi gaming 4gb edition,
geforce gtx 960 msi tiger oc 4gb edition,
geforce gtx 960 msi 2gb edition,
geforce gtx 780 zotac oc edition,
geforce gtx 780 zotac oc edition sli,
geforce gtx 960 inno3d herculez x3 air boss ultra 2gb edition,
geforce gtx 960 inno3d herculez 2x oc 4gb edition,
geforce gtx 960 msi gaming 100me 2gb edition,
geforce gtx 780 zotac amp! edition,
geforce gtx 780 windforce 3x oc edition,
geforce gtx 780 ti windforce 3x oc edition,
geforce gtx 780 ti zotac amp! edition,
geforce gtx 780 ti palit jetstream edition,
geforce gtx 780 ti sli,
geforce gtx 780 ti msi gaming 3gb edition,
geforce gtx 780 ti gigabyte ghz edition,
geforce gtx 780 ti pny xlr8 enthusiast oc edition,
geforce gtx 780 ti galaxy hof+ edition,
geforce gtx 780 ti gainward phantom edition,
geforce gtx 780 ti herculez x3 ultra edition,
geforce gtx 780 ti evga superclocked w/ acx edition,
geforce gtx 780 ti evga classified kingpin edition,
geforce gtx 780 ti evga dc w/ acx edition,
geforce gtx 780 ti evga superclocked edition,
geforce gtx 780 ti directcu ii oc edition,
geforce gtx 780 ti,
geforce gtx 780 palit super jetstream edition,
geforce gtx 780 ti asus rog matrix platinum edition,
geforce gtx 960 inno3d herculez 1x 4gb edition,
geforce gtx 960 gigabyte windforce 2x oc 4gb edition,
geforce gtx 960 inno3d herculez 2x oc 2gb edition,
geforce gtx 960 inno3d herculez 1x 2gb edition,
geforce gtx 780 sli,
geforce gtx 960 gigabyte oc 2gb edition,
geforce gtx 960 gigabyte ix oc 2gb edition,
geforce gtx 960 gigabyte g1 gaming 2gb edition,
geforce gtx 960 gigabyte windforce 2x oc 2gb edition,
geforce gtx 960 galax oc 2gb edition,
geforce gtx 960 galax kfa2 exoc 4gb edition,
geforce gtx 960 galax kfa2 exoc 2gb edition,
geforce gtx 960 gigabyte g1 gaming 4gb edition,
geforce gtx 960 galax exoc white 2gb edition,
geforce gtx 960 gigabyte oc 4gb edition,
geforce gtx 960 galax 2gb edition,
geforce gtx 960 gainward phantom glh 2gb edition,
geforce gtx 960 gainward phantom 2gb edition,
geforce gtx 960 galax exoc 2gb edition,
geforce gtx 960 gainward oc 2gb edition,
geforce gtx 960 galax gamer oc mini black 4gb edition,
geforce gtx 960 evga supersc acx 2.0+ 4gb edition,
geforce gtx 960 evga superclocked 2gb edition,
geforce gtx 780 msi twinfrozr gaming oc edition,
geforce gtx 780 palit jetstream edition,
geforce gtx 960 evga supersc acx 2.0+ 2gb edition,
geforce gtx 780 msi lightning edition,
geforce gtx 780 inno3d ichill herculez x3 ultra dhs edition,
geforce gtx 780 inno3d herculez 2000 edition,
geforce gtx 780 msi gaming 6gb edition,
geforce gtx 780 inno3d ice dragon edition,
geforce gtx 780 gigabyte ghz edition,
geforce gtx 780 gainward phantom glh edition,
geforce gtx 780 evga sc w/ acx edition sli,
geforce gtx 780 evga dual ftw w/ acx edition,
geforce gtx 780 gainward phantom edition,
geforce gtx 780 evga sc w/ acx 6gb edition,
geforce gtx 780 evga dual classified w/ acx edition,
geforce gtx 780 asus strix oc 6gb edition,
geforce gtx 780 evga sc w/ acx edition,
geforce gtx 780 evga sc edition,
geforce gtx 780 directcu ii edition,
geforce gtx 780 directcu ii oc edition,
geforce gtx 960 evga ftw acx 2.0+ 4gb edition,
geforce gtx 780 galaxy hof 3gb edition,
geforce gtx 960 evga acx 2.0+ 4gb edition,
geforce gtx 960 evga ftw acx 2.0+ 2gb edition,
geforce gtx 960 asus turbo oc 4gb edition sli,
geforce gtx 960 asus turbo oc 2gb edition,
geforce gtx 960 asus turbo oc 4gb edition,
geforce gtx 960 asus strix directcu ii oc 4gb edition,
geforce gtx 960 evga acx 2.0+ 2gb edition,
geforce gtx 960 2gb,
geforce gtx 780 asus rog poseidon edition sli,
geforce gtx 960 2gb sli,
geforce gtx 960 asus strix directcu ii oc 2gb edition,
geforce gtx 950 zotac amp! 2gb edition,
geforce gtx 950 zotac 2gb edition,
geforce gtx 950 zotac oc 2gb edition,
geforce gtx 950 pny 2gb edition,
geforce gtx 950 palit stormx 2gb edition,
geforce gtx 950 lp msi oc v3 2gb edition,
geforce gtx 950 msi gaming 2gb edition,
geforce gtx 780 asus directcu ii oc edition sli,
geforce gtx 780 6gb,
geforce gtx 770 zotac amp! edition,
geforce gtx 780,
geforce gtx 950 msi armor 2x oc 2gb edition,
geforce gtx 770 zotac 2gb oc edition,
geforce gtx 770 zotac 4gb edition,
geforce gtx 770 windforce 3x oc edition,
geforce gtx 950 palit stormx dual oc 2gb edition,
geforce gtx 770 windforce 3x oc 4gb edition,
geforce gtx 770 windforce 3x oc 4gb edition sli,
geforce gtx 770 pny xlr8 enthusiast edition,
geforce gtx 770 pny enthusiast 4gb oc edition,
geforce gtx 770 sli,
geforce gtx 960 asus mini oc 2gb edition,
geforce gtx 950 msi oc 2gb edition,
geforce gtx 770 msi twinfrozr edition,
geforce gtx 770 palit jetstream 2gb edition sli,
geforce gtx 770 palit jetstream 2gb edition,
geforce gtx 770 palit jetstream 4gb edition,
geforce gtx 770 msi twinfrozr 4gb edition,
geforce gtx 770 msi lightning edition,
geforce gtx 770 inno3d ichill herculez x3 ultra 4gb edition,
geforce gtx 770 leadtek hurricane iii edition,
geforce gtx 770 inno3d ichill herculez x3 ultra 2gb edition,
geforce gtx 770 inno3d herculez 2000 2gb edition,
geforce gtx 770 galaxy hof 2gb edition,
geforce gtx 770 gainward phantom edition,
geforce gtx 770 gainward 2gb edition,
geforce gtx 770 evga w/ acx edition,
geforce gtx 770 evga sc w/ acx edition sli,
geforce gtx 770 evga sc w/ acx edition,
geforce gtx 770 galaxy gc 2gb edition,
geforce gtx 770 evga superclocked edition,
geforce gtx 770 evga dual sc w/ acx 4gb edition,
geforce gtx 770 evga sc edition,
geforce gtx 770 evga 4gb classified edition sli,
geforce gtx 950 lp 2gb,
geforce gtx 770 evga 4gb classified edition,
geforce gtx 780 asus rog poseidon edition,
geforce gtx 770 gainward phantom 4gb edition,
geforce gtx 950 lp asus 2gb edition,
geforce gtx 950 inno3d ichill 2gb edition,
geforce gtx 950 lp msi oc v2 2gb edition,
geforce gtx 950 inno3d oc 2gb edition,
geforce gtx 950 galax kfa2 oc 2gb edition,
geforce gtx 950 inno3d ichill ultra 2gb edition,
geforce gtx 950 gigabyte windforce 2x oc 2gb edition,
geforce gtx 950 gigabyte oc 2gb edition,
geforce gtx 950 gigabyte xtreme gaming 2gb edition,
geforce gtx 950 evga superclocked+ acx 2.0 2gb edition,
geforce gtx 950 galax kfa2 ex oc white 2gb edition,
geforce gtx 950 evga ssc acx 2.0 2gb edition,
geforce gtx 950 asus oc 2gb edition,
geforce gtx 950 evga superclocked 2.0 2gb edition,
geforce gtx 950 asus directcu ii oc strix gaming 2gb edition,
geforce gtx 950 gainward 2gb edition,
geforce gtx 950 asus mini 2gb edition,
geforce gtx 950 2gb sli,
geforce gtx 950 2gb,
geforce gtx 770 directcu ii 2gb oc edition sli,
geforce gt 940 2gb [not released],
geforce gtx 760 zotac oc edition,
geforce gtx 770,
geforce gtx 950 evga ftw acx 2.0 2gb edition,
geforce gtx 760 zotac amp! edition,
geforce gtx 770 directcu ii 4gb oc edition,
geforce gtx 760 zotac 2gb edition,
geforce gtx 760 zotac 4gb edition,
geforce gtx 760 windforce 3x oc edition,
geforce gtx 760 windforce 3x oc 4gb edition,
geforce gtx 760 winfast dual fan oc 2gb edition,
geforce gtx 760 windforce 2x oc 2gb edition,
geforce gtx 770 msi 2gb oc edition,
geforce gtx 760 ti (oem),
geforce gtx 760 winfast dual fan oc 4gb edition,
geforce gtx 760 palit jetstream 4gb edition,
geforce gtx 760 msi twinfrozr oc 2gb edition,
geforce gtx 760 msi twinfrozr gaming edition,
geforce gtx 760 msi twinfrozr gaming oc edition,
geforce gtx 770 asus rog poseidon 2gb edition,
geforce gtx 760 msi oc 2gb edition,
geforce gtx 760 msi twinfrozr gaming oc 4gb edition,
geforce gtx 770 directcu ii 2gb oc edition,
geforce gtx 760 kfa2 ex oc 2gb edition,
geforce gtx 760 kfa2 ex oc 4gb edition,
geforce gtx 760 gainward phantom 4gb edition,
geforce gtx 760 galaxy gc 2gb edition,
geforce gtx 760 evga w/ acx 2gb edition,
geforce gtx 760 msi gaming itx 2gb edition,
geforce gtx 760 gainward phantom 2gb edition,
geforce gtx 760 gainward 2gb edition,
geforce gtx 760 inno3d oc 2gb edition,
geforce gtx 760 evga sc w/ acx 2gb edition,
geforce gtx 760 evga sc 2gb edition,
geforce gtx 760 evga sc w/ acx 4gb edition,
geforce gtx 760 msi hawk edition,
geforce gtx 760 evga 4gb edition,
geforce gtx 760 pny enthusiast oc edition,
geforce gt 930 2gb [not released],
geforce gtx 760 asus directcu ii oc edition,
geforce gtx 760 evga dual 4gb ftw w/ acx edition,
geforce gtx 760 asus dc mini edition,
geforce gtx 760 asus directcu ii top ssu edition,
geforce gtx 760 asus rog mars edition,
geforce gtx 760 3gb (oem),
geforce gtx 760 asus rog striker platinum edition,
geforce gtx 760 1.5gb (oem),
geforce gtx 750 zotac 1gb edition,
geforce gtx 750 zotac 2gb edition,
geforce gtx 750 ti zotac 1gb edition,
geforce gtx 750 ti zotac thunderbolt 2gb edition,
geforce gtx 760,
geforce gtx 750 zotac thunderbolt 1gb edition,
geforce gtx 750 ti pny performance oc 2gb edition,
geforce gtx 750 ti zotac 2gb edition,
geforce gtx 750 ti zotac oc 2gb edition,
geforce gtx 750 ti palit stormx oc 2gb edition,
geforce gtx 750 ti palit stormx dual 2gb edition,
geforce gtx 750 ti msi oc 2gb edition,
geforce gtx 750 ti msi oc v1 2gb edition,
geforce gtx 750 ti inno3d oc 2gb edition,
geforce gtx 750 ti msi low profile 2gb edition,
geforce gtx 750 ti kfa2 oc 2gb edition,
geforce gtx 750 ti gigabyte windforce 2x 2gb black edition,
geforce gtx 750 ti msi gaming 2gb edition,
geforce gtx 750 ti gigabyte windforce 2x oc 4gb edition,
geforce gtx 750 ti gigabyte oc 2gb edition,
geforce gtx 750 ti gigabyte windforce 2x oc 2gb edition,
geforce gtx 750 ti gigabyte oc 1gb edition,
geforce gtx 750 ti gigabyte low profile oc 2gb edition,
geforce gtx 750 ti galaxy oc 2gb edition,
geforce gtx 750 ti galaxy gc 2gb edition,
geforce gtx 760 sli,
geforce gtx 750 ti gainward golden sample 2gb edition,
geforce gtx 750 ti evga ftw w/ acx 2gb edition,
geforce gtx 750 ti evga superclocked 2gb edition,
geforce gtx 750 ti gainward 2gb edition,
geforce gtx 750 ti asus strix 2gb edition,
geforce gtx 750 ti evga 2gb edition,
geforce gtx 750 ti evga w/ acx 2gb edition,
geforce gtx 750 ti asus 2gb edition,
geforce gtx 750 ti asus ph 2gb edition,
geforce gtx 750 palit stormx oc 1gb edition,
geforce gtx 750 ti,
geforce gtx 750 ti asus oc 2gb edition,
geforce gtx 750 sparkle 1gb edition,
geforce gtx 750 ti asus strix oc 2gb edition,
geforce gtx 750 palit kalmx 2gb edition,
geforce gtx 750 palit stormx 2gb edition,
geforce gtx 750 msi oc 2gb edition,
geforce gtx 750 inno3d 2gb edition,
geforce gtx 750 msi gaming 2gb edition,
geforce gtx 750 msi oc 1gb edition,
geforce gtx 750 ti asus strix directcu ii oc 4gb edition,
geforce gtx 760 palit jetstream 2gb edition,
geforce gtx 750 gigabyte oc 1gb edition,
geforce gtx 750 evga superclocked 1gb edition,
geforce gtx 750 galaxy slim oc 1gb edition,
geforce gtx 750 msi gaming 1gb edition,
geforce gtx 750 gigabyte oc 2gb edition,
geforce gtx 750 evga superclocked 2gb edition,
geforce gtx 750 gainward 1gb edition,
geforce gtx 750 asus directcu silent 2gb edition,
geforce gtx 750,
geforce gtx 750 asus 2gb oc edition,
geforce gtx 745 (oem),
geforce gtx 750 asus 1gb oc edition,
geforce gtx 750 gainward 2gb edition,
geforce gtx 750 evga 2gb edition,
geforce gt 740 v3 msi 2gb edition,
geforce gt 740 v3 asus dust proof fan oc 2gb edition,
geforce gt 740 v2 inno3d ichill herculez 2000 1gb edition,
geforce gt 740 v3,
geforce gt 740 v2 inno3d herculez oc 2gb edition,
geforce gt 740 v2 gainward golden sample 2gb edition,
geforce gt 740 v2 gainward golden sample 1gb edition,
geforce gt 740 v2 gainward 2gb edition,
geforce gt 740 v2 inno3d herculez oc 1gb edition,
geforce gt 740 v2 gigabyte oc 2gb edition,
geforce gt 740 v2 evga superclocked 1gb edition,
geforce gt 740 v2 evga superclocked 4gb edition,
geforce gt 740 v2 gainward 1gb edition,
geforce gt 740 v2 evga ftw 2gb edition,
geforce gt 740 v2 evga superclocked 2gb edition,
geforce gt 740 v2 asus oc 1gb edition,
geforce gt 740 v2 evga ftw 1gb edition,
geforce gt 740 gainward one-slot cooler 2gb edition,
geforce gt 740 gainward one-slot cooler 1gb edition,
geforce gt 740 evga superclocked ss 4gb edition,
geforce gt 740 evga superclocked ds 4gb edition,
geforce gt 740 v2 asus oc 2gb edition,
geforce gt 740 v2,
geforce gt 740 evga superclocked ds 2gb edition,
geforce gt 740 evga superclocked ss 2gb edition,
geforce gt 740,
geforce gt 740 asus 2gb edition,
geforce gt 730 v3 msi 4gb edition,
geforce gt 730 v3 palit 2gb edition,
geforce gt 730 v3 zotac 4gb edition,
geforce gtx 750 gigabyte oc low profile 2gb edition,
geforce gt 730 v3 gigabyte 2gb edition,
geforce gt 730 v3 inno3d 2gb edition,
geforce gt 730 v3 msi 2gb edition,
geforce gt 730 v3 biostar oc 2gb edition,
geforce gt 730 v3 gainward 1gb edition,
geforce gt 730 v3 asus 2gb edition,
geforce gt 730 v3 asus 4gb edition,
geforce gt 730 v2 msi oc 2gb edition,
geforce gt 730 v2 zotac 2gb edition,
geforce gt 730 v2 inno3d low profile 2gb edition,
geforce gt 730 v2 zotac 1gb edition,
geforce gt 730 v2 msi oc 1gb edition,
geforce gt 730 v2 gigabyte rev 1.0 2gb edition,
geforce gt 730 v2 gigabyte oc 1gb edition,
geforce gt 730 asus silent 2gb edition,
geforce gt 730 v2,
geforce gt 730 asus silent 1gb edition,
geforce gt 730 v2 inno3d low profile 1gb edition,
geforce gt 730 v3,
geforce gt 730 v2 gigabyte rev 2.0 2gb edition,
geforce gt 730 afox low profile 4gb edition,
geforce gt 730 v2 evga low profile 2gb edition,
geforce gt 720 v2,
geforce gt 720 v2 msi 2gb edition,
geforce gt 730,
geforce2 ultra,
geforce gt 710 v2,
geforce gt 710,
geforce gt 720,
geforce 2 mx 64mb,
geforce 2 mx 400 64mb,
geforce gt 710 v2 evga low profile 2gb edition,
geforce2 ti,
geforce2 gts,
geforce fx 5700 ultra,
geforce 2 mx 100/200 32mb,
geforce fx 5900 ultra,
geforce fx 5700 ve,
geforce fx 5700,
geforce fx 5600 xt,
geforce fx 5500,
geforce fx 5700 le,
geforce fx 5600 ultra,
geforce fx 5200,
geforce4 ti 4400,
geforce4 ti 4600,
geforce gt 710 v2 evga passive 2gb edition,
geforce4 mx 460,
geforce4 mx 420,
geforce 4 mx 440,
geforce4 ti 4200,
geforce 4 mx 440 agp 8x,
geforce 6800 gs,
geforce 4 mx 4000,
geforce 6600 gt 256mb,
geforce 6800 gt leadtek edition,
geforce 6600 le,
geforce 6800 gt,
geforce 6600 gt,
geforce 6500,
geforce 6200 le,
geforce2 pro,
geforce 6600,
geforce 6200 turbocache,
geforce 6150 se / nforce 430 64mb ddr3,
geforce 6150 le,
geforce 6150 se nforce 430,
geforce 6150 se 256mb,
geforce 6100 nforce 405,
geforce 6100,
geforce 6200,
